code_intervention,type_intervention,cost_class,unit,ngn_cost,usd_cost,cost_year,notes,source,usd_cost_demo,ngn_cost_demo
itn_campaign,Dual AI,Procurement,per ITN,5584.9688864,3.490605554,2026, [Demo: values perturbed ±9.8%],NA,3.83,3800
itn_campaign,PBO,Procurement,per ITN,NA,NA,2026, [Demo: values perturbed ±0.5%],NA,NA,NA
itn_campaign,Standard Pyrethroid,Procurement,per ITN,NA,NA,2026, [Demo: values perturbed ±12.3%],NA,NA,NA
itn_campaign,Dual AI,Distribution,per bale,10000,6.25,2026,Distribution from National to DH level [Demo: values perturbed ±29%],NA,8.06,8100
itn_campaign,Dual AI,Operational,per ITN,584,0.09,2026, [Demo: values perturbed ±9.7%],NA,0.1,100
itn_campaign,Net Storage,Support,per year,8000000,5000,2026, [Demo: values perturbed ±-4.8%],NA,4761.59,4761600
itn_routine,Dual AI,Procurement,per ITN,5584.9688864,3.490605554,2026, [Demo: values perturbed ±6.1%],NA,3.7,3700
itn_routine,PBO,Procurement,per ITN,NA,NA,2026, [Demo: values perturbed ±-1.2%],NA,NA,NA
itn_routine,Standard Pyrethroid,Procurement,per ITN,NA,NA,2026, [Demo: values perturbed ±-5%],NA,NA,NA
itn_routine,Dual AI,Operational,per ITN,1396.2422216,0.8726513885,2026, [Demo: values perturbed ±19.2%],NA,1.04,1000
vacc,R21,Procurement,per dose,6400,4,2026, [Demo: values perturbed ±-5.8%],NA,3.77,3800
vacc,R21,Operational,per child,1600,1,2026, [Demo: values perturbed ±-35.5%],NA,0.64,600
smc,SP+AQ,Procurement,per SPAQ pack 3-11 month olds,390,0.24375,2026, [Demo: values perturbed ±-6.1%],NA,0.23,200
smc,SP+AQ,Procurement,per SPAQ pack 12-59 month olds,435,0.271875,2026, [Demo: values perturbed ±12.2%],NA,0.3,300
smc,SP+AQ,Operational,per child,2128,0.83,2026, [Demo: values perturbed ±30.5%],NA,1.08,1100
pmc,SP,Procurement,per SP,327,0.204375,2026, [Demo: values perturbed ±-2.9%],NA,0.2,200
pmc,SP,Operational,per child,130,0.08125,2026, [Demo: values perturbed ±-1.3%],NA,0.08,100
iptp,SP,Procurement,per SP,808.929504,0.50558094,2026, [Demo: values perturbed ±6.5%],NA,0.54,500
iptp,SP,Distribution,per SP,202.232376,0.126395235,2026, [Demo: values perturbed ±-23.1%],NA,0.1,100
cm_public,AL,Procurement,per AL,1952,1.22,2026, [Demo: values perturbed ±44%],NA,1.76,1800
cm_public,AL,Distribution,per AL,488,0.305,2026, [Demo: values perturbed ±-4.8%],NA,0.29,300
cm_public,Artesunate injections,Procurement,per 60mg powder,3205,2.003125,2026, [Demo: values perturbed ±11.6%],NA,2.24,2200
cm_public,Artesunate injections,Distribution,per 60mg powder,801.25,0.50078125,2026, [Demo: values perturbed ±76.9%],NA,0.89,900
cm_public,RAS,Procurement,per RAS,703,0.439375,2026, [Demo: values perturbed ±10.6%],NA,0.49,500
cm_public,RAS,Distribution,per RAS,175.75,0.10984375,2026, [Demo: values perturbed ±-2.3%],NA,0.11,100
cm_public,RDT kits,Procurement,per RDT kit,740,0.4625,2026, [Demo: values perturbed ±-17.7%],NA,0.38,400
cm_public,RDT kits,Distribution,per RDT kit,185,0.115625,2026, [Demo: values perturbed ±-16.8%],NA,0.1,100
cm_public,NA,Operational,per State,3622523,2264.076875,2026,Quality medicine audit [Demo: values perturbed ±1.3%],NA,2292.97,2293000
