"adm1","adm2"
"Mongala","Binga"
"Ituri","Rimba"
"Sud Kivu","Kaziba"
"Nord Ubangi","Abuzi"
"Kinshasa","Kokolo"
"Kongo Central","Kitona"
"Tanganyika","Moba"
"Kasai Central","Tshibala"
"Kasai Central","Bunkonde"
"Tshopo","Kabondo"
"Nord Kivu","Kyondo"
"Kasai Oriental","Nzaba"
"Sud Kivu","Bagira"
"Ituri","Damas"
"Maniema","Saramabila"
"Sud Ubangi","Libenge"
"Nord Ubangi","Loko"
"Nord Ubangi","Bili2"
"Sankuru","Kole"
"Sud Ubangi","Bangabola"
"Haut Katanga","Kapolowe"
"Kongo Central","Kimpangu"
"Haut Katanga","Tshamilemba"
"Sankuru","Omendjadi"
"Sud Kivu","Kadutu"
"Kinshasa","Bandalungwa"
"Maniema","Tunda"
"Kasai","Banga Lubaka"
"Nord Ubangi","Yakoma"
"Maniema","Obokote"
"Kasai","Kamonia"
"Haut Lomami","Kabondo Dianda"
"Kongo Central","Kangu"
"Sud Ubangi","Mbaya"
"Sud Kivu","Idjwi"
"Nord Kivu","Itebero"
"Kwango","Kitenda"
"Sud Ubangi","Kungu"
"Lomami","Mulumba"
"Tshopo","Lowa"
"Equateur","Lotumbe"
"Nord Kivu","Birambizo"
"Haut Lomami","Songa"
"Ituri","Adja"
"Bas Uele","Bili1"
"Sud Kivu","Hauts Plateaux"
"Tshopo","Yalimbongo"
"Kasai Central","Mikalayi"
"Nord Ubangi","Wapinda"
"Haut Katanga","Sakania"
"Lualaba","Bunkeya"
"Kasai Central","Bena Tshiadi"
"Sud Kivu","Miti Murhesa"
"Kinshasa","Kimbanseke"
"Kwilu","Mungindu"
"Kinshasa","Kalamu I"
"Tshopo","Yabaondo"
"Nord Kivu","Masisi"
"Kasai","Luebo"
"Kongo Central","Luozi"
"Kwango","Tembo"
"Kongo Central","Inga"
"Ituri","Aungba"
"Tanganyika","Ankoro"
"Tanganyika","Kansimba"
"Kongo Central","Boma"
"Mai Ndombe","Bosobe"
"Equateur","Mbandaka"
"Mai Ndombe","Kiri"
"Kwilu","Kikongo"
"Equateur","Bomongo"
"Tshopo","Isangi"
"Mongala","Bongandanga"
"Kasai","Mweka"
"Sankuru","Wembo Nyama"
"Kasai Central","Katoka"
"Tshopo","Bengamisa"
"Kongo Central","Kwilu Ngongo"
"Nord Ubangi","Mobayi Mbongo"
"Kwilu","Bulungu"
"Bas Uele","Bondo"
